query,domain,intent
Society meeting me bulata hai zabardasti.,PROPERTY,TENANT_RIGHTS
Colleagues are spreading false rumors and harassing me daily.,LABOUR,WORKPLACE_HARASSMENT
Extra kaam karwate hain paisa nahi dete.,LABOUR,WORKING_HOURS
Landlord is making false claims of property damage to keep my security deposit.,PROPERTY,SECURITY_DEPOSIT
The app charged me twice for a single booking and refuses to refund.,CONSUMER,REFUND
Inventory rent dispute report.,PROPERTY,RENT_DISPUTE
Cyber fraud me paise chale gaye kya karu?,CYBER,ONLINE_FRAUD
Domestic abuse grievance.,WOMEN,DOMESTIC_VIOLENCE
Defective piece mil gaya.,CONSUMER,DEFECTIVE_PRODUCT
Defective goods consumer complaint.,CONSUMER,DEFECTIVE_PRODUCT
Warranty card hone ke baad bhi mana kar rahe.,CONSUMER,WARRANTY
Can my company terminate me overnight without notice?,LABOUR,WRONGFUL_TERMINATION
Refund not received after order cancellation.,CONSUMER,REFUND
Online scam issue.,CYBER,ONLINE_FRAUD
Company ne bina notice ke nikal diya.,LABOUR,WRONGFUL_TERMINATION
Can a landlord increase rent without serving prior notice?,PROPERTY,RENT_DISPUTE
Dahej ke liye marpeet ki sasural walo ne.,WOMEN,DOWRY
Warranty me hai phir bhi theek nahi kar rahe.,CONSUMER,WARRANTY
My boss conditioned my promotion on accepting his sexual advances.,WOMEN,SEXUAL_HARASSMENT
My manager fired me unjustly.,LABOUR,WRONGFUL_TERMINATION
Refund nahi mila company se.,CONSUMER,REFUND
My TV under warranty has a panel issue and they keep delaying the repair.,CONSUMER,WARRANTY
Refund nahi de raha dukan wala.,CONSUMER,REFUND
Cyberbullying legal complaint.,CYBER,CYBERBULLYING
What is the legal remedy for unpaid security deposit?,PROPERTY,SECURITY_DEPOSIT
Office sexual harassment ka case kaise kare?,WOMEN,SEXUAL_HARASSMENT
Mera salary hold kar liya hai.,LABOUR,UNPAID_WAGES
Can I file a police complaint for workplace harassment?,LABOUR,WORKPLACE_HARASSMENT
Dahej ke liye kamre me band kar diya.,WOMEN,DOWRY
High income husband non-maintenance report.,WOMEN,MAINTENANCE
Rent badhane ko lekar malkin pareshan kar raha hai.,PROPERTY,RENT_DISPUTE
Identity theft and document misuse complaint.,CYBER,IDENTITY_THEFT
An online stalker is sending me threatening messages across multiple apps.,CYBER,CYBERBULLYING
Consumer forum case for defective product.,CONSUMER,DEFECTIVE_PRODUCT
My husband and his mother are committing acts of domestic violence against me.,WOMEN,DOMESTIC_VIOLENCE
Tenant rights dispute.,PROPERTY,TENANT_RIGHTS
Can I file a police case for cyberbullying?,CYBER,CYBERBULLYING
Can a landlord keep security deposit for painting charges without agreement clause?,PROPERTY,SECURITY_DEPOSIT
Payment ruki hui hai 3 mahine se employer phone nahi utha raha.,LABOUR,UNPAID_WAGES
Rent agreement dispute resolution.,PROPERTY,RENT_DISPUTE
Fake customer care se fraud ho gaya.,CYBER,ONLINE_FRAUD
My husband is not paying maintenance after separation and I have no source of income.,WOMEN,MAINTENANCE
Cyber cell cyberbullying help.,CYBER,CYBERBULLYING
Unauthorized access to online account.,CYBER,ACCOUNT_HACKING
I worked overtime for weeks but my overtime pay and basic salary have not been credited.,LABOUR,UNPAID_WAGES
Received a broken and defective television set from the online store.,CONSUMER,DEFECTIVE_PRODUCT
Domestic violence legal help.,WOMEN,DOMESTIC_VIOLENCE
Mera identity chori ho gaya hai.,CYBER,IDENTITY_THEFT
The furniture delivered to my house had broken legs and structural defects.,CONSUMER,DEFECTIVE_PRODUCT
I received a fraudulent lottery winning message and lost money for processing fees.,CYBER,ONLINE_FRAUD
My estranged husband is delaying court proceedings to avoid paying maintenance.,WOMEN,MAINTENANCE
Online stalking and cyberbullying report.,CYBER,CYBERBULLYING
Cyber attack account compromise.,CYBER,ACCOUNT_HACKING
Facing severe mental harassment and bullying by my team lead.,LABOUR,WORKPLACE_HARASSMENT
Rent ko lekar jhagda ho raha hai landlord se.,PROPERTY,RENT_DISPUTE
"Mujhe mera pichle 2 mahine ka salary nahi mila hai, kya karu?",LABOUR,UNPAID_WAGES
My passport details were stolen and misused for illegal travel bookings.,CYBER,IDENTITY_THEFT
Tenant rights legal remedies.,PROPERTY,TENANT_RIGHTS
Fired unfairly from job.,LABOUR,WRONGFUL_TERMINATION
Account hacking complaint.,CYBER,ACCOUNT_HACKING
Party me galat tarike se touch kiya coworker ne.,WOMEN,SEXUAL_HARASSMENT
Warranty grievance online,CONSUMER,WARRANTY
The company is refusing to repair my smartphone even though it is well within the warranty period.,CONSUMER,WARRANTY
My husband beats me up under the influence of alcohol and threatens me.,WOMEN,DOMESTIC_VIOLENCE
Jaan se marne ki dhamki deta hai pati.,WOMEN,DOMESTIC_VIOLENCE
Domestic violence family dispute.,WOMEN,DOMESTIC_VIOLENCE
Working hours labor complaint.,LABOUR,WORKING_HOURS
Retrenched without notice or compensation.,LABOUR,WRONGFUL_TERMINATION
Advance rent wapas nahi mil raha.,PROPERTY,SECURITY_DEPOSIT
Sexual harassment forced late meetings.,WOMEN,SEXUAL_HARASSMENT
Tenant appliance installation rights.,PROPERTY,TENANT_RIGHTS
Refund ke liye 2 hafte se bol raha hu koi sunta nahi.,CONSUMER,REFUND
The car I bought has a major engine defect and the dealer is not replacing it.,CONSUMER,DEFECTIVE_PRODUCT
The property owner is delaying the refund of my security deposit indefinitely.,PROPERTY,SECURITY_DEPOSIT
Rent receipt nahi de raha landlord tax file karna hai.,PROPERTY,TENANT_RIGHTS
My landlord is threatening to throw my belongings out over a minor rent delay.,PROPERTY,RENT_DISPUTE
Maintenance petition filing process.,WOMEN,MAINTENANCE
What is the remedy if a company refuses refund?,CONSUMER,REFUND
I paid for a service that was never delivered and now they won't refund.,CONSUMER,REFUND
Cyber crime identity theft grievance.,CYBER,IDENTITY_THEFT
Manufacturing defect complaint.,CONSUMER,DEFECTIVE_PRODUCT
My boss cut my salary arbitrarily and hasn't cleared my dues.,LABOUR,UNPAID_WAGES
Security deposit wapas lene ke liye kya kare?,PROPERTY,SECURITY_DEPOSIT
Dowry harassment case filing process.,WOMEN,DOWRY
Someone hacked my LinkedIn account and started spamming connections.,CYBER,ACCOUNT_HACKING
My salary was deducted fully and not paid.,LABOUR,UNPAID_WAGES
The landlord is harassing us over rent payment delays due to genuine bank issues.,PROPERTY,RENT_DISPUTE
There is a disagreement regarding who should pay for major structural repairs under the rent agreement.,PROPERTY,RENT_DISPUTE
Jhoota damage bata kar deposit rakh liya.,PROPERTY,SECURITY_DEPOSIT
Workplace sexual harassment complaint.,WOMEN,SEXUAL_HARASSMENT
Someone hacked my YouTube channel and changed the channel name and content.,CYBER,ACCOUNT_HACKING
My boss is mentally harassing me and creating a hostile work environment.,LABOUR,WORKPLACE_HARASSMENT
Labor law working hours query.,LABOUR,WORKING_HOURS
Sexual harassment internal committee query.,WOMEN,SEXUAL_HARASSMENT
Fraud karke bank account khali kar diya.,CYBER,ONLINE_FRAUD
The tenant has not paid rent for the last four months and refuses to vacate.,PROPERTY,RENT_DISPUTE
Salary nahi aayi is mahine ki.,LABOUR,UNPAID_WAGES
What are my rights if I receive a defective item?,CONSUMER,DEFECTIVE_PRODUCT
Warranty service denial complaint.,CONSUMER,WARRANTY
